Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Monitoring location,MONITOR 1,MONITOR 2,Watershed,Unnamed: 25
WW006,10/24/2020,12:00:00,Composite,Water,,Secchi Depth - 00069,2.74,m,,0.1,m,0.1,m,,,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,10/24/2020,12:00:00,Grab,Water,0.1,Temperature - 00011,17.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,10/24/2020,12:00:00,Grab,Water,1.0,Temperature - 00011,17.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW006,10/24/2020,12:00:00,Grab,Water,1.9,Temperature - 00011,16.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Boone Lake,Wood River,WD,Becky Sprague,
WW016,6/10/2020,10:30:00,Grab,Water,1.0,Alkalinity - 00410,17.5,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,1.0,Chloride - 00940,56.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,5.8,Chloride - 00940,49.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",5.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.8,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,1.0,Dissolved Oxygen - 00300,6.8,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,360.1: Dissolved Oxygen Using an ISE,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,5.8,Dissolved Oxygen - 00300,1.8,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,360.1: Dissolved Oxygen Using an ISE,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,0.5,Enterococci - 31639,12.4,MPN/100,,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.147,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,5.8,"Nitrate + Nitrite, Dissolved - 00631",0.186,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.016,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,5.8,"Nitrogen, Ammonia Dissolved as N - 00608",0.116,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",0.564,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,5.8,"Nitrogen, Total (unfiltered) - 00600",0.703,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,1.0,pH - 00400,7.9,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,5.8,pH - 00400,6.3,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,1.0,"Phosphorus, Dissolved - 00666",14.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,5.8,"Phosphorus, Dissolved - 00666",4.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,1.0,"Phosphorus, Total - 00665",15.0,ug/l,,3.0,ug/l,3.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,5.8,"Phosphorus, Total - 00665",25.0,ug/l,,3.0,ug/l,3.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Composite,Water,,Secchi Depth - 00069,3.02,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,0.1,Temperature - 00011,21.9,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,Volunteer reported that the temperatures were not correct; corrected via email.,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,1.0,Temperature - 00011,21.9,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,Volunteer reported that the temperatures were not correct; corrected via email.,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/10/2020,10:30:00,Grab,Water,5.8,Temperature - 00011,22.5,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,Volunteer reported that the temperatures were not correct; corrected via email.,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/20/2020,10:00:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.8,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/20/2020,10:00:00,Composite,Water,,Secchi Depth - 00069,3.36,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/20/2020,10:00:00,Grab,Water,1.0,Temperature - 00011,36.0,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/20/2020,10:00:00,Grab,Water,5.5,Temperature - 00011,37.0,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/27/2020,10:30:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.8,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/27/2020,10:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.5,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/27/2020,10:30:00,Grab,Water,1.0,Dissolved Oxygen - 00300,7.1,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,360.1: Dissolved Oxygen Using an ISE,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/27/2020,10:30:00,Grab,Water,5.5,Dissolved Oxygen - 00300,1.3,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,360.1: Dissolved Oxygen Using an ISE,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/27/2020,10:30:00,Composite,Water,,Secchi Depth - 00069,3.35,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/27/2020,10:30:00,Grab,Water,0.1,Temperature - 00011,26.0,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/27/2020,10:30:00,Grab,Water,1.0,Temperature - 00011,27.0,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,6/27/2020,10:30:00,Grab,Water,5.5,Temperature - 00011,18.8,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/4/2020,10:00:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.8,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/4/2020,10:00:00,Composite,Water,,Secchi Depth - 00069,3.32,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/4/2020,10:00:00,Grab,Water,1.0,Temperature - 00011,23.5,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/4/2020,10:00:00,Grab,Water,5.5,Temperature - 00011,16.0,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/9/2020,10:00:00,Grab,Water,1.0,Alkalinity - 00410,18.0,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.8,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.8,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,1.0,Dissolved Oxygen - 00300,6.5,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,360.1: Dissolved Oxygen Using an ISE,,,,,small particles of blue green algae at the sampling site,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,5.5,Dissolved Oxygen - 00300,0.8,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,360.1: Dissolved Oxygen Using an ISE,,,,,small particles of blue green algae at the sampling site,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,0.5,Enterococci - 31639,1.0,MPN/100,,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.041,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,5.5,"Nitrate + Nitrite, Dissolved - 00631",0.034,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.042,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,5.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.027,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",0.345,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,5.5,"Nitrogen, Total (unfiltered) - 00600",1.301,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,1.0,pH - 00400,6.8,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,5.5,pH - 00400,6.6,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,1.0,"Phosphorus, Dissolved - 00666",5.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,5.5,"Phosphorus, Dissolved - 00666",4.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,1.0,"Phosphorus, Total - 00665",9.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,5.5,"Phosphorus, Total - 00665",46.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Composite,Water,,Secchi Depth - 00069,4.0,m,,0.1,m,0.1,m,,,,,,,small particles of blue green algae at the sampling site,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,1.0,Temperature - 00011,26.5,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,small particles of blue green algae at the sampling site,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/9/2020,10:00:00,Grab,Water,5.5,Temperature - 00011,17.5,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,small particles of blue green algae at the sampling site,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray and Jonathan Norton,
WW016,7/18/2020,10:00:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.8,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/18/2020,10:00:00,Grab,Water,5.5,Dissolved Oxygen - 00300,4.0,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,360.1: Dissolved Oxygen Using an ISE,,,,,Some blue green algae clusters spread out at testing site,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/18/2020,10:00:00,Composite,Water,,Secchi Depth - 00069,2.95,m,,0.1,m,0.1,m,,,,,,,Some blue green algae clusters spread out at testing site,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/18/2020,10:00:00,Grab,Water,1.0,Temperature - 00011,26.0,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,Some blue green algae clusters spread out at testing site,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/18/2020,10:00:00,Grab,Water,5.5,Temperature - 00011,18.5,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,Some blue green algae clusters spread out at testing site,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/25/2020,10:30:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",6.7,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/25/2020,10:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.8,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/25/2020,10:30:00,Grab,Water,1.0,Dissolved Oxygen - 00300,8.3,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,360.1: Dissolved Oxygen Using an ISE,,,,,"Dissolved oxygen levels were taken by Hach DO meter at half meter intervals. There was an anomaly at 5 meters with the oxygen level going up significantly from 1.98 mg/L at 4.5 meters to 6.17mg/L .  I repeated a probe reading at those depths and the readings were similar.
Blue green algae is still present.",Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/25/2020,10:30:00,Grab,Water,5.5,Dissolved Oxygen - 00300,3.3,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,360.1: Dissolved Oxygen Using an ISE,,,,,"Dissolved oxygen levels were taken by Hach DO meter at half meter intervals. There was an anomaly at 5 meters with the oxygen level going up significantly from 1.98 mg/L at 4.5 meters to 6.17mg/L .  I repeated a probe reading at those depths and the readings were similar.
Blue green algae is still present.",Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/25/2020,10:30:00,Composite,Water,,Secchi Depth - 00069,3.93,m,,0.1,m,0.1,m,,,,,,,Blue green algae is still present.,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/25/2020,10:30:00,Grab,Water,1.0,Temperature - 00011,28.8,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,"Dissolved oxygen levels were taken by Hach DO meter at half meter intervals. There was an anomaly at 5 meters with the oxygen level going up significantly from 1.98 mg/L at 4.5 meters to 6.17mg/L .  I repeated a probe reading at those depths and the readings were similar.
Blue green algae is still present.",Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,7/25/2020,10:30:00,Grab,Water,5.5,Temperature - 00011,16.7,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,"Dissolved oxygen levels were taken by Hach DO meter at half meter intervals. There was an anomaly at 5 meters with the oxygen level going up significantly from 1.98 mg/L at 4.5 meters to 6.17mg/L .  I repeated a probe reading at those depths and the readings were similar.
Blue green algae is still present.",Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/1/2020,10:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.8,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/1/2020,10:30:00,Composite,Water,,Secchi Depth - 00069,3.53,m,,0.1,m,0.1,m,,,,,,,"High concentration of blue green algae at the testing site today. ""DO meter did not stabilize""",Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/1/2020,10:30:00,Grab,Water,1.0,Temperature - 00011,28.9,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,"High concentration of blue green algae at the testing site today. ""DO meter did not stabilize""",Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/1/2020,10:30:00,Grab,Water,5.5,Temperature - 00011,17.4,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,"High concentration of blue green algae at the testing site today. ""DO meter did not stabilize""",Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/8/2020,10:15:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.5,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/8/2020,10:15:00,Composite,Water,,Secchi Depth - 00069,2.66,m,,0.1,m,0.1,m,,,,,,,Blue green algae present at the surface and in the water column at testing site,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/8/2020,10:15:00,Grab,Water,1.0,Temperature - 00011,27.7,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,Blue green algae present at the surface and in the water column at testing site,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/8/2020,10:15:00,Grab,Water,5.5,Temperature - 00011,17.8,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,Blue green algae present at the surface and in the water column at testing site,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/15/2020,10:15:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.8,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/15/2020,10:15:00,Composite,Water,,Secchi Depth - 00069,3.78,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/15/2020,10:15:00,Grab,Water,1.0,Temperature - 00011,27.0,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/15/2020,10:15:00,Grab,Water,5.5,Temperature - 00011,18.8,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/24/2020,10:00:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",6.4,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/24/2020,10:00:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.8,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/24/2020,10:00:00,Grab,Water,1.0,Dissolved Oxygen - 00300,8.2,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,360.1: Dissolved Oxygen Using an ISE,,,,,Please reference excel Hach Meter DO sheet for more comprehensive DO data.,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/24/2020,10:00:00,Grab,Water,5.5,Dissolved Oxygen - 00300,0.2,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,360.1: Dissolved Oxygen Using an ISE,,,,,Please reference excel Hach Meter DO sheet for more comprehensive DO data.,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/24/2020,10:00:00,Composite,Water,,Secchi Depth - 00069,3.7,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/24/2020,10:00:00,Grab,Water,1.0,Temperature - 00011,26.4,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,8/24/2020,10:00:00,Grab,Water,5.5,Temperature - 00011,19.8,C,,-35.0,C,-35.0,C,URIWW,170.1: Temperature,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,9/5/2020,10:00:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.8,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
WW016,9/5/2020,10:00:00,Grab,Water,1.0,Dissolved Oxygen - 00300,8.4,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,360.1: Dissolved Oxygen Using an ISE,,,,,,Georgiaville Pond,Woonasquatucket River-Moshassuck River,WO,Dawn Dauray,
