Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Location,MONITOR 1,MONITOR 2,Watershed,Watershed Code
WW016,5/9/2019,10:00:00 AM,Grab,Water,1,pH - 00400,7.6,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,5/9/2019,10:00:00 AM,Grab,Water,5.5,pH - 00400,6.6,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,5/9/2019,10:00:00 AM,Grab,Water,1,"Phosphorus, Dissolved - 00666",6.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,5/9/2019,10:00:00 AM,Grab,Water,5.5,"Phosphorus, Dissolved - 00666",5.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,5/9/2019,10:00:00 AM,Grab,Water,1,"Phosphorus, Total - 00665",16.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,5/9/2019,10:00:00 AM,Grab,Water,5.5,"Phosphorus, Total - 00665",15.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,5/9/2019,10:00:00 AM,Composite,Water,,Secchi Depth - 00069,2.22,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,5/9/2019,10:00:00 AM,Grab,Water,0.1,Temperature - 00011,17.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,5/9/2019,10:00:00 AM,Grab,Water,1,Temperature - 00011,16.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,5/9/2019,10:00:00 AM,Grab,Water,5.5,Temperature - 00011,13.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,1,Alkalinity - 00410,17.6,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",4.3,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.8,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,1,Dissolved Oxygen - 00300,6.6,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,5.8,Dissolved Oxygen - 00300,0.1,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,0.5,Enterococci - 31639,3.1,MPN/100,,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,1,"Nitrate + Nitrite, Dissolved - 00631",0.045,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,5.8,"Nitrate + Nitrite, Dissolved - 00631",0.03,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.07,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,5.8,"Nitrogen, Ammonia Dissolved as N - 00608",0.055,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,1,"Nitrogen, Total (unfiltered) - 00600",0.4,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,5.8,"Nitrogen, Total (unfiltered) - 00600",0.695,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,1,pH - 00400,6.2,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,5.8,pH - 00400,7.1,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,1,"Phosphorus, Dissolved - 00666",7.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,5.8,"Phosphorus, Dissolved - 00666",4.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,1,"Phosphorus, Total - 00665",13.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,5.8,"Phosphorus, Total - 00665",25.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Composite,Water,,Secchi Depth - 00069,3.52,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,1,Temperature - 00011,27.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,7/19/2019,1:00:00 PM,Grab,Water,5.8,Temperature - 00011,19.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,1,Alkalinity - 00410,20.1,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",12.2,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.2,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,1,Dissolved Oxygen - 00300,8.3,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,5.2,Dissolved Oxygen - 00300,4.6,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,0.5,Enterococci - 31639,2.0,MPN/100,,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,1,"Nitrate + Nitrite, Dissolved - 00631",0.025,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,5.2,"Nitrate + Nitrite, Dissolved - 00631",0.035,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.0075,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,5.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.11,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,1,"Nitrogen, Total (unfiltered) - 00600",0.335,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,5.2,"Nitrogen, Total (unfiltered) - 00600",0.54,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,1,pH - 00400,7.22,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,5,pH - 00400,6.83,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,1,"Phosphorus, Dissolved - 00666",5.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,5.2,"Phosphorus, Dissolved - 00666",7.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,1,"Phosphorus, Total - 00665",12.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,5.2,"Phosphorus, Total - 00665",12.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Composite,Water,,Secchi Depth - 00069,2.75,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,0.1,Temperature - 00011,23.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,1,Temperature - 00011,24.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,9/25/2019,12:15:00 PM,Grab,Water,5.2,Temperature - 00011,20.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,1,Alkalinity - 00410,28.6,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,1,Chloride - 00940,68.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,4.5,Chloride - 00940,67.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",8.5,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",5.3,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,1,Dissolved Oxygen - 00300,8.3,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,4.5,Dissolved Oxygen - 00300,7.8,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,0.5,Enterococci - 31639,22.3,MPN/100,,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,1,"Nitrate + Nitrite, Dissolved - 00631",0.06,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,47.5,"Nitrate + Nitrite, Dissolved - 00631",0.07,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.06,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,4.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.045,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,1,"Nitrogen, Total (unfiltered) - 00600",0.405,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,4.5,"Nitrogen, Total (unfiltered) - 00600",0.46,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,1,pH - 00400,7.2,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,4.5,pH - 00400,7.3,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,1,"Phosphorus, Dissolved - 00666",6.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,4.5,"Phosphorus, Dissolved - 00666",4.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,1,"Phosphorus, Total - 00665",19.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,4.5,"Phosphorus, Total - 00665",21.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Composite,Water,,Secchi Depth - 00069,2.08,m,,0.1,m,0.1,m,,,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,0.1,Temperature - 00011,15.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,1,Temperature - 00011,14.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW016,10/21/2019,12:15:00 PM,Grab,Water,4.5,Temperature - 00011,13.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,State of tide =  Not tidal,Georgiaville Pond,Dawn Dauray,,Woonasquatucket River-Moshassuck River,WO
WW018,5/10/2019,11:30:00 AM,Grab,Water,1,Alkalinity - 00410,8.2,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Grab,Water,1,Chloride - 00940,58.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",19.1,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",3.4,m,,0.1,m,0.1,m,,,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Grab,Water,0.5,Enterococci - 31639,2.0,MPN/100,,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Grab,Water,1,"Nitrate + Nitrite, Dissolved - 00631",0.035,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Grab,Water,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.02,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Grab,Water,1,"Nitrogen, Total (unfiltered) - 00600",0.65,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Grab,Water,1,pH - 00400,6.4,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Grab,Water,1,"Phosphorus, Dissolved - 00666",8.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Grab,Water,1,"Phosphorus, Total - 00665",21.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Composite,Water,,Secchi Depth - 00069,3.4,m,,0.1,m,0.1,m,,,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Grab,Water,0.1,Temperature - 00011,15.9,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/10/2019,11:30:00 AM,Grab,Water,1,Temperature - 00011,15.7,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Indian Lake,George Tarring,Jane Tarring,Frontal Block Island Sound,S
WW018,5/16/2019,1:40:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",3.5,m,,0.1,m,0.1,m,,,,,,,,Indian Lake,George Tarring,,Frontal Block Island Sound,S
WW018,5/16/2019,1:40:00 PM,Composite,Water,,Secchi Depth - 00069,3.5,m,,0.1,m,0.1,m,,,,,,,,Indian Lake,George Tarring,,Frontal Block Island Sound,S
WW018,5/16/2019,1:40:00 PM,Grab,Water,0.1,Temperature - 00011,14.8,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Indian Lake,George Tarring,,Frontal Block Island Sound,S
WW018,5/16/2019,1:40:00 PM,Grab,Water,1,Temperature - 00011,14.9,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Indian Lake,George Tarring,,Frontal Block Island Sound,S
WW018,5/22/2019,1:15:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.3,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Indian Lake,Cynthia DeMaio,Richard DeMaio,Frontal Block Island Sound,S
